pk,uid,connections
131,21537801,"['15996614', '827575618766241792', '1242881044388470786', '1116737761560625152', '887552714170916864', '1109530912511983616', '5943622', '1304806684716609537', '1198090642959872000', '931148100', '839998182213984256', '1343665394809245698', '923417736943980544', '275866844', '1334903263104266244', '1021229221', '1081087400', '1203017773808533504', '1032020371615174656', '983330118524256258', '1206201712312238081', '1267545970717458442', '1299797548362727424', '1290489991622094848', '3002991206', '1289292966196961280', '1888103546', '3014790274', '1691658151', '1146240788', '1297482875990925312', '702143152992313344', '1233276713162899456', '1158386372605952000', '2906262687', '717856851036123137', '1334950219805548544', '1229495549897953280', '2634504171', '1309055787571044352', '2344519220', '25945732', '1329061913175711747', '1421764452', '1037127516354277376', '1315268880336670720', '1322195978150125569', '937845833843822592', '441408130', '1319348416938496005', '423999623', '1143509667336916992', '889037207310348289', '1291858361714188289', '1333631607127871490', '757643450175066112', '1008492837896269825', '1242465012423118851', '1301651654069161985', '1204229532548419585', '1290338574500388865', '1170446364192444424', '2992793751', '1269005064829468672', '3950452641', '1196145409841909766', '1726953288', '1296142992936493056', '1000873644942381056', '1256935111376998401', '1249148184842158083', '1326134677581815808', '1086093637593845761', '165252927', '1101516144039608320', '786398898738737152', '896205182', '222156039', '1014652279528435713', '1271097527673122816', '1113183169644298246', '609469374', '713025817702432768', '1289102086538493952', '1202717900483772422', '79859561', '278264929', '165659955', '889661647186526208', '841753319139905536', '240401093', '1017296308342870017', '890438559030816768', '720065147121762304', '544649099', '2268603601', '2781947299', '3188285216', '853861390221692928', '430248296', '1151534251864723457', '3920289735', '354598532', '1156874592440524800', '1082512795046998016', '2579734706', '14457368', '1290107428004982786', '12755702', '16959216', '1270330970034626564', '794341975205912576', '807787296959307777', '1878174157', '899730788257812480', '788853282651443201', '1248584082445029381', '1252248173654966274', '500794341', '1046063860644548616', '1108119684098879488', '1279795003884273671', '1111860588248862721', '706394380039544833', '984247159066214400', '2896899179', '816423008260734978', '1022281503152062469', '3047561660', '923161484645097472', '2204609910', '1266898602863071240', '1570774003', '1240272779360047105', '1186520381101756417', '1242526064338853889', '1135742101583347712', '1235653433627197442', '22936656', '1114975081212600320', '2288820930', '3010389594', '1199129271220002816', '455261114', '3331627803', '437918215']"
132,4181685500,"['1242465012423118851', '1336553789273165828', '955491732539478017', '1349823231641862144', '804460671358341120', '1257922300923588611', '1229495549897953280', '622122109', '1334903263104266244', '1202368997687275521', '1878174157', '1292937614224310273', '1269005064829468672', '1339812393224871936', '1319348416938496005', '972551389175013376', '888546253071679488', '2896899179', '1114975081212600320', '2992406288', '1210129206', '2962293341', '270618076', '1081469734602850309', '1108119684098879488', '3784625243', '1309055787571044352', '1290338574500388865', '2884767580', '1146240788', '788853282651443201']"
133,1034983920314593280,"['1269005064829468672', '1287873982482526208', '927797192819032064', '172273396', '1209625640451874817']"
134,1291858361714188289,[]
135,2992406288,['1878174157']
136,827575618766241792,"['1315268880336670720', '828997376237002752', '1202368997687275521', '1196945531571965952', '12755702', '937845833843822592', '408848541', '1186819709221658624', '1290107428004982786', '1252248173654966274', '2906262687', '455261114', '1137491888561217536', '25945732', '786398898738737152', '1114975081212600320', '1285264282133786626', '423999623', '876276781338296320', '1108119684098879488', '702143152992313344', '888546253071679488', '975042257630978049']"
137,788853282651443201,"['1351994423064862722', '1350074326108807169', '1242881044388470786', '1351125785722179585', '1341188950421950464', '1349600297853870081', '1349823231641862144', '1349793847145082883', '1339823076452814848', '1239722966763679747', '2752145101', '1137491888561217536', '1264870567', '893960979825836033', '768269511866785793', '882524476335771649', '288644170', '1162060550035189761', '1348483657158168578', '1348079207289663489', '71100930', '1343665394809245698', '1238918685764526080', '2925744135', '2451850303', '2189667499', '1229495549897953280', '1319348416938496005', '622122109', '1105923286502965249', '153659165', '940822013756760066', '1169792414921515009', '33101402', '980068983696252929', '1878174157', '153535083', '20391157', '1333144550404190209', '1336327740107104257', '1315338410639478790', '1326033211416342531', '858396196922109956', '2359029782', '1035087484516855808', '1270330970034626564', '2394835339', '1309055787571044352', '1297388227708551168', '1334950219805548544', '931148100', '1242465012423118851', '1334903263104266244', '1289086637390135302', '3950452641', '784432271038226432', '593535209', '1081087400', '1005156942195642370', '4491753014', '827575618766241792', '1247287096060137475', '1326134677581815808', '1310460427168550913', '1320846991417552896', '4758001661', '794341975205912576', '25945732', '2288820930', '937556413898883074', '2240060174', '1299797548362727424', '1249148184842158083', '2828506917', '5943622', '1186520381101756417', '296524028', '1274548455248203777', '1175825495734333441', '25239301', '1279795003884273671', '6762802', '1098402457816727552', '27524557', '1191856718117892096', '1204229532548419585', '2992406288', '184469967', '1021229221', '1269233706306342913', '3333744253', '1162733598811787266', '23416945', '2634504171', '1257773348056174593', '1000723954783301632', '1009993631560691713', '957044578120433664', '55994728', '354731301', '23148933', '21537801', '1290489991622094848', '1242668835792175105', '1013510641322258432', '1291858361714188289', '1969204292', '1208878166225362944', '1170446364192444424', '1190546058159386624', '271765772', '1156874592440524800', '3014790274', '1242526064338853889', '16959216', '222156039', '1189761987288264704', '839998182213984256', '1108119684098879488', '1082512795046998016', '16947736', '2595711446', '496004529', '3258423608', '896205182', '836469832493080576', '1267202242060279808', '1135742101583347712', '1290107428004982786', '1292937614224310273', '807787296959307777', '3784625243', '3192975130', '889037207310348289', '1290338574500388865', '544649099', '2884767580', '799750243579359233', '354598532', '140636962', '500794341', '22936656', '1086093637593845761', '1046063860644548616', '900458712636280833', '853861390221692928', '1202717900483772422', '795362454091886592', '165252927', '1570774003', '1006574408', '1146240788', '1010914093992210433', '1191739998183100416', '1262709104176324608', '1113183169644298246', '1266898602863071240', '785905069367537664', '2949898547', '1114975081212600320', '1267545970717458442', '1266903679350734848', '1691658151', '1199129271220002816', '973343660006817792', '1055913264129880064', '1246583737124519938', '1198090642959872000', '1241748861082877954', '3331627803', '1252248173654966274', '345996676', '2906262687', '1127641854537818114', '455261114', '2962293341', '1027119011476041728', '4181685500', '1038581544984760320', '958816783942717440', '3300403990', '278264929', '169389686', '65351721', '835127018916212740', '15996614', '984247159066214400', '890438559030816768', '1202368997687275521', '2204609910', '955491732539478017', '832070889495748609', '706394380039544833']"
138,296524028,[]
139,17581319,[]
140,980524548624969728,[]
